Designator,Mid X,Mid Y,Layer,Rotation
C1,36.000,40.000,Top,0.0
C10,24.000,37.000,Top,0.0
C11,34.000,32.000,Top,0.0
C12,34.000,34.500,Top,0.0
C13,38.000,32.000,Top,0.0
C14,38.000,34.500,Top,0.0
C15,56.000,39.000,Top,0.0
C2,36.000,43.000,Top,0.0
C5,51.000,10.000,Top,0.0
C6,51.000,14.500,Top,0.0
C7,51.000,18.500,Top,0.0
C9,24.000,41.000,Top,0.0
D1,8.000,39.000,Top,0.0
D2,55.500,7.000,Top,0.0
D3,11.500,39.000,Top,0.0
J1,46.000,48.000,Top,0.0
J2,8.000,48.500,Top,90.0
J3,67.000,48.000,Top,90.0
J4,28.000,48.500,Top,90.0
R1,10.000,9.000,Top,0.0
R10,11.500,42.500,Top,0.0
R11,10.000,23.400,Top,0.0
R12,56.000,36.500,Top,0.0
R2,10.000,12.600,Top,0.0
R3,10.000,16.200,Top,0.0
R4,10.000,19.800,Top,0.0
R5,8.000,36.000,Top,0.0
R6,12.000,37.000,Top,0.0
R7,16.000,37.000,Top,0.0
R8,51.000,7.000,Top,0.0
R9,8.000,42.500,Top,0.0
SW1,14.000,45.500,Top,0.0
SW2,19.000,45.500,Top,0.0
U1,36.000,18.000,Top,0.0
U2,60.000,11.000,Top,0.0
U3,60.000,22.000,Top,-90.0
U4,30.000,40.000,Top,0.0
U5,48.000,34.000,Top,0.0
U6,62.000,36.500,Top,0.0
U7,62.000,42.000,Top,0.0
